customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
FONDSID,FundId,,int,dbo,Company,OwnProviderId,,,,,,
FONDSNAME,FundName,,nvarchar(255),dbo,Company,Name,,,,,,
ISIN,Isin,,nvarchar(12),dbo,Instrument,Isin,,,,,,
LEI,Lei,,nvarchar(20),dbo,Company,Lei,CompanyRole,Code,Issuer,nvarchar(50),InstrumentCompanyRole,
FONDSVERMOEGEN_EUR,TotatNetAssets,,decimal(38.15),dbo,Tna,Value,Currency,Code,EUR,nvarchar(50),,
DATUM,Date,,date,dbo,Statement,PublishDate,,,,,,
PA_CARBON_EMISSIONS_SCOPE_1,GghEmissionsScope1,,decimal(38.15),dbo,EnvironmentalSustainability,GghEmissionsScope1,SustainabilityReport,EnvironmentalSustainabilityId,,int,,
PA_CARBON_EMISSIONS_SCOPE_2,GghEmissionsScope2,,decimal(38.15),dbo,EnvironmentalSustainability,GghEmissionsScope2,SustainabilityReport,EnvironmentalSustainabilityId,,int,,
PA_CARBON_EMISSIONS_SCOPE_3,GghEmissionsScope3,,decimal(38.15),dbo,EnvironmentalSustainability,GghEmissionsScope3,SustainabilityReport,EnvironmentalSustainabilityId,,int,,
PA_CARBON_EMISSIONS_SCOPE_123,GghEmissionsScope123,,decimal(38.15),dbo,EnvironmentalSustainability,GghEmissionsScopeTotalScope1_2_3,SustainabilityReport,EnvironmentalSustainabilityId,,int,,
PA_PCAF_SCORE_SCOPE_1,GhgEmissionsScope1Score,,decimal(38.15),dbo,Score,GghEmissionsScope1,CompanyScore,ScoreId,,int,,
PA_PCAF_SCORE_SCOPE_2,GhgEmissionsScope2Score,,decimal(38.15),dbo,Score,GghEmissionsScope2,CompanyScore,ScoreId,,int,,
PA_PCAF_SCORE_SCOPE_3,GhgEmissionsScope2Score,,decimal(38.15),dbo,Score,GghEmissionsScope3,CompanyScore,ScoreId,,int,,
PA_PCAF_SCORE_SCOPE_123,GhgEmissionsScope1_2_3Score,,decimal(38.15),dbo,Score,GghEmissionsScopeTotalScope1_2_3,CompanyScore,ScoreId,,int,,new
